experiment,theta_target,Q,n,D,num_primes,L1,L2,L2_diag,L2_off,L1_logn_over_n,L2_off_over_L2_diag,theta_actual
A_theta_scan,0.5,105,10000000,30,19,18.478944180918006,27.46046663755115,60.87865573564287,-33.41818909809172,2.9784538983675604e-05,-0.5489311269159026,0.4997586505413714
A_theta_scan,0.55,236,10000000,30,40,40.46803343702345,71.260149393505,125.31792322248157,-54.057773828976565,6.522676337441236e-05,-0.4313650628649965,0.5500047510985384
A_theta_scan,0.6,528,10000000,30,78,82.37201243730487,133.34265796617186,240.4741281315811,-107.13147016540924,0.00013276799754264085,-0.4455010233233478,0.599965025321925
A_theta_scan,0.65,1183,10000000,30,156,161.98594390258302,265.3733462167447,500.9611965770047,-235.58785036026,0.00026109049379326014,-0.47027165371289764,0.6500151427639418
A_theta_scan,0.7,2648,10000000,30,318,328.0535619242748,532.0322746143137,991.8278125152583,-459.7955379009446,0.000528759868973304,-0.4635840335379495,0.7000056050696178
A_theta_scan,0.75,5928,10000000,30,642,674.4822727884035,1104.3956033544348,2036.7877750697871,-932.3921717153523,0.001087136978767925,-0.45777580910873517,0.7500042070987049
A_theta_scan,0.8,13270,10000000,30,1336,1329.0660207738538,2080.0578002440857,4236.689849016543,-2156.6320487724574,0.0021422013249271536,-0.509037037316544,0.799998882512014
A_theta_scan,0.85,29708,10000000,30,2785,2804.194350088308,4387.576063693129,8870.396940264567,-4482.820876571438,0.0045198272758600255,-0.5053686894464651,0.8499992385661747
A_theta_scan,0.9,66509,10000000,30,5784,5760.642917819492,8955.880411270216,18260.944551862503,-9305.064140592287,0.009285059356043021,-0.5095609438036012,0.900000238963222
A_theta_scan,0.95,148895,10000000,30,12081,12105.47664052106,19117.57933620134,38551.620956824496,-19434.041620623157,0.019511723039236,-0.5041043966059979,0.9500001955427303
A_theta_scan,1.0,333333,10000000,30,25404,25942.83824709371,41751.31375837797,82041.23958840845,-40289.92583003049,0.04181491483239963,-0.491093577232139,0.9999999379579
A_theta_scan,1.1,1670624,10000000,30,113555,131936.83324436517,235565.28936110175,426076.16986052645,-190510.8804994247,0.21265704981172154,-0.44712869194676463,1.099999995837273
B_growing_D,0.6,100,1000000,40,21,22.01983760657845,33.767781606318785,86.686775055955,-52.91899344963621,0.0003042152989383433,-0.6104621312244896,0.6003433318879937
B_growing_D,0.6,200,10000000,80,32,47.361202471444926,111.76477311083032,267.32920386242114,-155.5644307515908,7.63372391579153e-05,-0.5819208246011566,0.6005885689508463
B_growing_D,0.6,400,100000000,160,61,128.6771628104152,448.3864485571042,1021.1236402529761,-572.7371916958718,2.370320935168239e-05,-0.5608891706336172,0.6007724967479858
B_growing_D,0.6,800,1000000000,320,112,395.7365676484278,2291.4177307681457,3634.636995025878,-1343.2192642577324,8.200954092779097e-06,-0.3695607748713208,0.6009155517013166
B_growing_D,0.6,1600,10000000000,640,201,983.1066355162984,7750.270988800727,13025.265576345537,-5274.99458754481,2.2636866837633598e-06,-0.40498173005581056,0.6010299956639812
