Hall slack analysis: n in [100, 100000], step=100, alpha=0.85
      n    surv   band_q      iso   non_iso   s_viol   p_viol   tight_slack
---------------------------------------------------------------------------
    100      24       10       24         0        0        0           n/a
    200      33       22       33         0        0        0           n/a
    300      56       31       56         0        0        0           n/a
    400      70       41       70         0        0        0           n/a
    500      71       51       71         0        0        0           n/a
    600      79       59       79         0        0        0           n/a
    700     109       70      109         0        0        0           n/a
    800     118       77      118         0        0        0           n/a
    900     137       88      137         0        0        0           n/a
   1000     152       97      152         0        0        0           n/a
   1100     165      108      165         0        0        0           n/a
   1200     167      116      167         0        0        0           n/a
   1300     185      125      185         0        0        0           n/a
   1400     196      131      196         0        0        0           n/a
   1500     187      144      187         0        0        0           n/a
   1600     226      152      226         0        0        0           n/a
   1700     225      164      225         0        0        0           n/a
   1800     224      172      224         0        0        0           n/a
   1900     262      179      262         0        0        0           n/a
   2000     267      188      267         0        0        0           n/a
   2100     294      196      294         0        0        0           n/a
   2200     272      202      272         0        0        0           n/a
   2300     312      214      312         0        0        0           n/a
   2400     302      225      302         0        0        0           n/a
   2500     328      230      328         0        0        0           n/a
   2600     323      239      323         0        0        0           n/a
   2700     343      250      343         0        0        0           n/a
   2800     372      261      372         0        0        0           n/a
   2900     383      268      383         0        0        0           n/a
   3000     341      276      341         0        0        0           n/a
   3100     386      285      386         0        0        0           n/a
   3200     382      290      382         0        0        0           n/a
   3300     401      298      401         0        0        0           n/a
   3400     427      310      427         0        0        0           n/a
   3500     417      317      417         0        0        0           n/a
   3600     436      326      436         0        0        0           n/a
   3700     438      336      438         0        0        0           n/a
   3800     463      343      463         0        0        0           n/a
   3900     474      351      474         0        0        0           n/a
   4000     466      360      466         0        0        0           n/a
   4100     514      372      514         0        0        0           n/a
   4200     497      377      497         0        0        0           n/a
   4300     511      390      511         0        0        0           n/a
   4400     530      395      530         0        0        0           n/a
   4500     530      405      530         0        0        0           n/a
   4600     539      411      539         0        0        0           n/a
   4700     551      418      551         0        0        0           n/a
   4800     567      429      567         0        0        0           n/a
   4900     563      435      563         0        0        0           n/a
   5000     613      448      613         0        0        0           n/a
   5100     589      458      589         0        0        0           n/a
   5200     602      464      602         0        0        0           n/a
   5300     630      470      630         0        0        0           n/a
   5400     601      476      601         0        0        0           n/a
   5500     643      485      643         0        0        0           n/a
   5600     634      496      633         1        0        0           n/a
   5700     663      505      660         3        0        0            +4
   5800     683      511      681         2        0        0            +4
   5900     681      524      677         4        0        0            +4
   6000     706      525      698         8        0        0            +4
   6100     698      536      689         9        0        0            +4
   6200     735      543      720        15        0        0            +4
   6300     737      555      730         7        0        0            +1
   6400     736      567      724        12        0        0            +4
   6500     740      571      725        15        0        0            +4
   6600     793      579      777        16        0        0            +4
   6700     784      586      760        24        0        0            +4
   6800     780      596      763        17        0        0            +4
   6900     778      605      759        19        0        0            +4
   7000     811      617      788        23        0        0            +1
   7100     818      621      791        27        0        0            +4
   7200     816      629      791        25        0        0            +1
   7300     868      637      845        23        0        0            +4
   7400     869      644      843        26        0        0            +1
   7500     883      653      860        23        0        0            +4
   7600     882      665      849        33        0        0            +4
   7700     897      672      859        38        0        0            +4
   7800     927      679      899        28        0        0            +4
   7900     918      687      882        36        0        0            +4
   8000     917      695      874        43        0        0            +1
   8100     917      701      874        43        0        0            +4
   8200     980      709      939        41        0        0            +4
   8300     952      718      903        49        0        0            +1
   8400     996      725      938        58        0        0            +1
   8500     994      732      943        51        0        0            +1
   8600     975      742      925        50        0        0            +1
   8700    1002      753      962        40        0        0            +4
   8800    1016      760      959        57        0        0            +4
   8900    1017      770      967        50        0        0            +4
   9000    1094      776     1049        45        0        0            +4
   9100    1080      784     1026        54        0        0            +4
   9200    1065      794     1005        60        0        0            +1
   9300    1075      801     1016        59        0        0            +1
   9400    1078      808     1007        71        0        0            +1
   9500    1079      820     1008        71        0        0            +1
   9600    1098      824     1032        66        0        0            +1
   9700    1141      834     1073        68        0        0            +1
   9800    1120      843     1044        76        0        0            +1
   9900    1145      853     1073        72        0        0            +1
  10000    1156      861     1081        75        0        0            +1
  10100    1187      870     1098        89        0        0            +1
  10200    1215      878     1131        84        0        0            +4
  10300    1170      887     1091        79        0        0            +1
  10400    1204      896     1128        76        0        0            +1
  10500    1245      904     1157        88        0        0            +1
  10600    1215      910     1139        76        0        0            +1
  10700    1245      919     1135       110        0        0            +4
