n,d,pi,E_mod,L,PNT,ratio_mod,violation
1000,2001,152,141.198,147.417,144.837,1.076500,1
1001,2003,153,141.249,147.491,144.961,1.083190,1
1002,2005,138,141.371,147.638,145.085,0.976155,0
1003,2007,158,141.492,147.785,145.209,1.116667,1
1004,2009,153,141.614,147.932,145.332,1.080402,1
1005,2011,138,141.665,148.006,145.456,0.974130,0
1006,2013,150,141.786,148.153,145.580,1.057932,1
1007,2015,149,141.907,148.300,145.703,1.049981,1
1008,2017,141,141.958,148.374,145.827,0.993251,0
1009,2019,151,142.220,148.521,145.951,1.061733,1
1010,2021,150,142.342,148.668,146.074,1.053802,1
1011,2023,142,142.463,148.815,146.198,0.996750,0
1012,2025,153,142.584,148.962,146.322,1.073049,1
1013,2027,147,142.776,149.036,146.445,1.029582,1
1014,2029,148,142.827,149.110,146.569,1.036215,1
1015,2031,127,142.949,149.257,146.693,0.888430,0
1016,2033,158,143.070,149.404,146.816,1.104353,1
1017,2035,148,143.191,149.551,146.940,1.033582,1
1018,2037,144,143.313,149.697,147.063,1.004796,1
1019,2039,135,143.505,149.771,147.187,0.940737,0
1020,2041,155,143.626,149.918,147.310,1.079192,1
1021,2043,149,143.889,150.065,147.434,1.035523,1
1022,2045,143,144.010,150.212,147.557,0.992984,0
1023,2047,145,144.132,150.359,147.681,1.006022,1
1024,2049,149,144.254,150.506,147.804,1.032902,1
1025,2051,140,144.375,150.652,147.928,0.969694,0
1026,2053,148,144.427,150.726,148.051,1.024742,1
1027,2055,144,144.548,150.873,148.174,0.996208,0
1028,2057,149,144.669,151.020,148.298,1.029934,1
1029,2059,141,144.791,151.166,148.421,0.973818,0
1030,2061,134,144.912,151.313,148.545,0.924698,0
1031,2063,160,145.104,151.387,148.668,1.102656,1
1032,2065,144,145.226,151.533,148.791,0.991560,0
1033,2067,149,145.488,151.680,148.915,1.024137,1
1034,2069,154,145.540,151.754,149.038,1.058129,1
1035,2071,145,145.662,151.900,149.161,0.995458,0
1036,2073,154,145.783,152.047,149.284,1.056363,1
1037,2075,148,145.905,152.194,149.408,1.014360,1
1038,2077,147,146.026,152.340,149.531,1.006667,1
1039,2079,160,146.289,152.487,149.654,1.093725,1
1040,2081,149,146.341,152.560,149.777,1.018172,1
1041,2083,143,146.392,152.634,149.901,0.976829,0
1042,2085,152,146.514,152.780,150.024,1.037446,1
1043,2087,137,146.565,152.853,150.147,0.934739,0
1044,2089,159,146.616,152.927,150.270,1.084464,1
1045,2091,164,146.737,153.073,150.393,1.117642,1
1046,2093,155,146.859,153.220,150.516,1.055437,1
1047,2095,147,146.980,153.366,150.640,1.000137,1
1048,2097,150,147.101,153.512,150.763,1.019708,1
1049,2099,150,147.293,153.586,150.886,1.018381,1
2000,4001,267,260.039,270.362,263.192,1.026770,1
2001,4003,267,260.087,270.430,263.307,1.026578,1
2002,4005,265,260.201,270.565,263.421,1.018443,1
2003,4007,264,260.380,270.632,263.535,1.013903,1
2004,4009,257,260.494,270.767,263.649,0.986589,0
2005,4011,274,260.607,270.902,263.764,1.051391,1
2006,4013,264,260.656,270.970,263.878,1.012829,1
2007,4015,265,260.770,271.105,263.992,1.016223,1
2008,4017,275,260.883,271.240,264.106,1.054112,1
2009,4019,273,260.932,271.308,264.220,1.046251,1
2010,4021,273,260.980,271.375,264.335,1.046056,1
2011,4023,276,261.224,271.510,264.449,1.056565,1
2012,4025,261,261.337,271.645,264.563,0.998709,0
2013,4027,256,261.386,271.712,264.677,0.979395,0
2014,4029,265,261.499,271.847,264.791,1.013386,1
2015,4031,267,261.613,271.982,264.905,1.020592,1
2016,4033,256,261.726,272.117,265.020,0.978121,0
2017,4035,261,261.970,272.252,265.134,0.996298,0
2018,4037,277,262.083,272.387,265.248,1.056915,1
2019,4039,276,262.197,272.522,265.362,1.052643,1
2020,4041,255,262.311,272.657,265.476,0.972130,0
2021,4043,278,262.424,272.792,265.590,1.059353,1
2022,4045,259,262.538,272.927,265.704,0.986525,0
2023,4047,271,262.651,273.062,265.819,1.031786,1
2024,4049,264,262.700,273.129,265.933,1.004949,1
2025,4051,256,262.749,273.197,266.047,0.974316,0
2026,4053,275,262.862,273.332,266.161,1.046177,1
2027,4055,274,263.105,273.467,266.275,1.041408,1
2028,4057,258,263.154,273.534,266.389,0.980415,0
2029,4059,247,263.397,273.669,266.503,0.937747,0
2030,4061,266,263.511,273.804,266.617,1.009446,1
2031,4063,268,263.625,273.939,266.731,1.016597,1
2032,4065,249,263.738,274.073,266.845,0.944118,0
2033,4067,256,263.852,274.208,266.959,0.970242,0
2034,4069,268,263.965,274.343,267.073,1.015285,1
2035,4071,271,264.079,274.478,267.187,1.026209,1
2036,4073,262,264.127,274.545,267.301,0.991945,0
2037,4075,272,264.241,274.680,267.415,1.029364,1
2038,4077,277,264.354,274.815,267.529,1.047836,1
2039,4079,271,264.533,274.882,267.643,1.024447,1
2040,4081,289,264.646,275.017,267.757,1.092023,1
2041,4083,261,264.760,275.152,267.871,0.985799,0
2042,4085,258,264.873,275.287,267.985,0.974050,0
2043,4087,258,264.987,275.422,268.099,0.973633,0
