n,pi,E_mod
32,9,8.024
33,10,8.094
34,9,8.276
35,10,8.336
36,9,8.389
37,9,8.802
38,12,8.979
39,11,9.037
40,12,9.204
41,11,9.498
43,12,10.087
44,11,10.155
45,13,10.332
47,13,10.923
48,15,10.994
51,15,11.300
52,16,11.466
53,12,11.752
54,13,11.814
57,17,12.197
58,13,12.355
59,16,12.734
60,16,12.899
62,17,13.460
63,15,13.524
64,14,13.691
65,16,13.751
66,15,13.912
67,15,14.292
68,17,14.354
70,21,14.574
71,15,14.949
73,17,15.499
74,17,15.566
75,18,15.631
76,22,15.796
78,18,16.022
79,23,16.395
81,20,16.624
82,19,16.787
83,20,17.058
86,21,17.451
87,22,17.612
88,18,17.773
90,20,18.102
91,20,18.262
92,19,18.422
93,23,18.580
94,21,18.738
95,21,18.796
96,21,18.853
97,22,19.207
98,23,19.266
99,21,19.322
100,23,19.474
101,22,19.826
102,20,19.982
103,21,20.338
104,21,20.498
105,21,20.560
106,24,20.717
108,23,21.235
109,24,21.597
110,24,21.763
111,27,21.829
112,25,21.991
113,24,22.256
114,25,22.323
116,23,22.551
117,29,22.711
120,29,22.995
121,28,23.150
123,30,23.458
124,25,23.612
125,27,23.670
126,29,23.821
130,28,24.529
131,28,24.779
132,28,24.933
134,31,25.145
135,30,25.203
138,27,25.750
139,33,26.091
141,33,26.212
142,29,26.362
144,32,26.662
146,34,26.869
147,30,27.016
148,33,27.163
150,32,27.646
151,33,27.983
153,30,28.195
154,35,28.346
155,30,28.404
158,31,28.853
159,30,29.002
160,33,29.150
161,32,29.298
162,32,29.445
163,36,29.777
165,30,29.986
166,33,30.134
167,33,30.466
168,31,30.526
169,38,30.675
170,33,30.824
171,33,30.973
173,33,31.362
175,36,31.570
176,39,31.628
179,40,32.159
180,36,32.307
181,39,32.637
182,34,32.787
183,40,32.846
185,39,33.143
186,36,33.201
187,34,33.348
189,39,33.551
190,34,33.696
191,40,33.932
192,37,34.078
193,41,34.404
196,37,34.756
197,38,35.083
198,37,35.143
199,39,35.470
202,42,35.829
203,39,35.977
204,44,36.037
205,40,36.184
206,44,36.330
209,38,36.681
210,38,36.739
211,42,37.060
212,38,37.206
214,38,37.497
215,40,37.555
217,42,37.755
218,43,37.898
220,44,38.096
221,43,38.151
222,41,38.292
223,46,38.607
224,39,38.663
226,45,38.945
227,44,39.260
229,41,39.633
230,45,39.690
231,41,39.747
233,48,40.118
234,41,40.261
235,41,40.404
236,46,40.546
237,45,40.688
238,49,40.830
239,43,41.059
240,47,41.202
241,44,41.519
242,42,41.663
243,50,41.721
245,42,41.922
246,46,42.065
248,46,42.349
249,43,42.405
250,45,42.546
251,45,42.774
252,49,42.915
255,47,43.254
256,53,43.394
258,48,43.848
259,51,43.989
260,48,44.046
262,46,44.242
264,50,44.693
265,47,44.834
266,50,44.975
267,51,45.116
268,53,45.256
270,46,45.624
271,48,45.936
272,51,46.079
273,48,46.137
274,51,46.279
275,49,46.420
277,50,46.874
278,56,46.932
280,49,47.216
282,53,47.586
283,49,47.899
284,59,47.959
285,49,48.018
286,54,48.161
287,50,48.303
288,49,48.362
290,53,48.645
291,52,48.786
292,51,48.927
293,51,49.154
295,54,49.437
298,57,49.777
299,56,49.834
300,56,49.891
301,52,50.030
303,58,50.225
304,57,50.364
305,56,50.502
307,58,50.861
308,58,50.917
309,55,50.973
311,52,51.414
312,55,51.552
314,59,51.997
315,55,52.054
317,54,52.498
318,60,52.639
319,60,52.779
322,57,53.031
323,58,53.088
324,55,53.225
326,64,53.419
328,60,53.692
329,55,53.747
330,62,53.802
332,57,54.239
333,57,54.375
334,59,54.511
336,66,54.702
338,56,55.057
340,66,55.330
342,57,55.520
343,61,55.655
345,60,55.844
346,61,55.978
347,64,56.275
348,61,56.411
349,62,56.709
351,63,56.900
352,60,57.036
353,61,57.335
354,61,57.391
355,59,57.527
357,62,57.799
358,66,57.934
359,67,58.152
361,61,58.425
362,59,58.561
363,59,58.616
364,67,58.752
366,63,58.942
367,60,59.239
368,64,59.374
369,74,59.429
370,62,59.565
371,60,59.619
372,61,59.754
373,63,60.050
374,65,60.185
375,67,60.240
376,67,60.375
380,63,60.915
381,64,61.049
382,67,61.184
383,65,61.479
385,64,61.670
386,73,61.725
387,66,61.859
388,65,61.993
389,74,62.288
390,66,62.423
391,64,62.558
392,64,62.693
393,65,62.748
394,67,62.882
396,70,63.151
399,68,63.635
400,69,63.769
401,66,64.064
403,74,64.334
404,67,64.390
405,66,64.445
408,74,64.847
411,67,65.251
412,75,65.384
414,74,65.493
415,71,65.626
417,71,65.891
419,77,66.236
420,74,66.369
422,77,66.795
423,76,66.928
424,75,67.062
426,73,67.250
427,72,67.383
428,73,67.437
429,68,67.491
430,78,67.623
431,73,67.834
432,78,67.966
434,70,68.390
435,78,68.524
437,74,68.790
438,71,68.844
439,75,69.134
441,76,69.244
442,71,69.376
444,77,69.721
445,74,69.854
446,72,69.987
449,77,70.542
450,74,70.675
452,75,70.942
453,76,70.997
454,74,71.129
455,78,71.184
456,80,71.316
457,77,71.605
458,82,71.738
459,76,71.793
462,73,72.348
463,74,72.639
464,73,72.694
466,78,72.962
467,79,73.252
468,84,73.308
469,74,73.442
470,77,73.498
472,82,73.765
473,75,73.820
474,81,73.953
476,76,74.140
477,77,74.272
478,84,74.405
479,91,74.693
484,83,75.279
486,78,75.465
488,82,75.808
489,81,75.940
490,79,76.072
491,85,76.282
493,79,76.547
